route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,note_fr,note_en
4,15N_I,15N_15N_I_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_I,15N_15N_I_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_I,15N_15N_I_5_3,STATION SNOWDON,1,,2,,
1,15N_F1,15N_15N_F1_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_F1,15N_15N_F1_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_F1,15N_15N_F1_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_F1,15N_15N_F1_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_F1,15N_15N_F1_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_F1,15N_15N_F1_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_F1,15N_15N_F1_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_F1,15N_15N_F1_5_3,STATION SNOWDON,1,51745,2,,
1,15N_F2,15N_15N_F2_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_F2,15N_15N_F2_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_F2,15N_15N_F2_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_F2,15N_15N_F2_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_F2,15N_15N_F2_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_F2,15N_15N_F2_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_F2,15N_15N_F2_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_F2,15N_15N_F2_5_3,STATION SNOWDON,1,,2,,
1,15N_F3,15N_15N_F3_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_F3,15N_15N_F3_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_F3,15N_15N_F3_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_F3,15N_15N_F3_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_F3,15N_15N_F3_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_F3,15N_15N_F3_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_F3,15N_15N_F3_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_F3,15N_15N_F3_5_3,STATION SNOWDON,1,51745,2,,
1,15N_F4,15N_15N_F4_1_2,STATION HONORÉ-BEAUGRAND,0,10014,2,,
1,15N_F4,15N_15N_F4_1_3,STATION ANGRIGNON,1,10015,2,,
2,15N_F4,15N_15N_F4_2_0,STATION MONTMORENCY,0,20022,2,,
2,15N_F4,15N_15N_F4_2_1,STATION CÔTE-VERTU,1,20021,2,,
4,15N_F4,15N_15N_F4_4_0,STATION BERRI-UQÀM,0,40005,2,,
4,15N_F4,15N_15N_F4_4_1,STATION LONGUEUIL–UNIVERSITÉ-DE-SHERBROOKE,1,40006,2,,
5,15N_F4,15N_15N_F4_5_2,STATION SAINT-MICHEL,0,,2,,
5,15N_F4,15N_15N_F4_5_3,STATION SNOWDON,1,,2,,
100,15N_A,15N_A_100_01_11_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_12_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_01_14_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_15_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_01_17_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_18_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_01_2_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_20_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_21_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_01_23_100_1,100-O,1,1000191,1,,
105,15N_A,15N_A_100_01_25_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_26_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_27_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_28_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_29_105_1,105-E,0,1050126,1,,
100,15N_A,15N_A_100_01_3_100_1,100-E,0,1000184,1,,
105,15N_A,15N_A_100_01_30_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_32_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_33_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_34_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_35_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_36_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_37_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_38_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_39_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_40_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_41_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_42_105_1,105-O,1,1050125,1,,
105,15N_A,15N_A_100_01_43_105_1,105-E,0,1050126,1,,
105,15N_A,15N_A_100_01_44_105_1,105-O,1,1050125,1,,
211,15N_A,15N_A_100_01_46_211_1,211-O,1,2110108,1,,
211,15N_A,15N_A_100_01_47_211_1,211-E,0,2110115,1,,
211,15N_A,15N_A_100_01_49_211_1,211-O,1,2110108,1,,
100,15N_A,15N_A_100_01_5_100_1,100-O,1,1000191,1,,
356,15N_A,15N_A_100_01_51_356_1,356-E,0,3560061,1,,
100,15N_A,15N_A_100_01_6_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_01_8_100_1,100-O,1,1000191,1,,
100,15N_A,15N_A_100_01_9_100_1,100-E,0,1000184,1,,
100,15N_A,15N_A_100_02_10_100_1,100-O,1,1000191,2,,
100,15N_A,15N_A_100_02_11_100_1,100-E,0,1000184,2,,
